N,P,K,ph,temperature,humidity,rainfall,soil,label
59.48,19.98,59.42,7.01,28.9,70.99,145.66,alluvial,banana
73.65,24.1,40.64,7.15,26.88,71.21,89.24,alluvial,banana
41.39,18.3,38.99,6.7,28.21,74.55,143.22,silty clay,banana
71.18,26.57,43.9,7.38,28.55,77.14,94.47,silty clay,banana
72.12,12.31,45.38,7.38,29.2,71.93,154.14,silty clay,banana
61.05,27.46,54.89,7.64,30.35,73.04,114.33,clay loam,banana
77.05,14.84,52.39,6.94,26.32,81.87,147.47,silty clay,banana
47.01,15.35,51.55,7.18,28.0,72.37,145.2,alluvial,banana
60.74,9.64,43.19,7.31,28.22,81.48,98.91,alluvial,banana
79.31,21.0,66.93,7.51,25.43,73.49,122.58,clay loam,banana
49.03,19.93,64.94,6.84,29.68,77.95,113.55,clay loam,banana
68.23,15.35,39.51,7.06,31.11,73.76,132.25,silty clay,banana
65.46,17.05,42.62,6.59,28.94,70.21,129.14,alluvial,banana
69.33,8.2,60.97,7.16,25.82,76.96,108.32,clay loam,banana
48.36,-1.22,57.0,6.56,30.79,96.7,100.32,silty clay,banana
47.97,23.17,27.35,6.97,28.44,88.72,150.79,peat,banana
43.58,28.22,35.71,7.17,28.68,77.56,135.32,clay loam,banana
53.39,15.77,38.75,7.26,30.63,73.84,116.13,clay loam,banana
70.99,15.53,32.77,7.36,28.11,79.38,113.76,silty clay,banana
68.96,21.7,58.76,7.24,25.98,73.9,135.3,alluvial,banana
62.49,10.71,42.36,7.15,26.15,84.85,148.2,silty clay,banana
59.38,13.22,40.26,7.46,28.55,70.78,91.95,alluvial,banana
53.17,25.5,55.41,7.0,31.53,63.52,146.6,silty clay,banana
66.67,19.83,39.07,7.13,29.76,67.43,118.2,silty clay,banana
63.37,21.03,56.57,7.08,32.99,78.6,123.65,alluvial,banana
41.95,13.28,37.86,6.98,27.54,72.06,128.98,alluvial,banana
39.98,19.97,63.79,7.0,28.75,72.89,128.77,alluvial,banana
63.22,4.57,31.6,7.59,28.97,72.6,91.75,alluvial,banana
56.17,12.89,41.06,7.45,27.99,73.72,110.83,clay loam,banana
53.13,17.33,51.4,6.83,27.22,67.48,172.62,silty clay,banana
65.8,13.56,51.49,6.42,29.21,79.82,139.04,silty clay,banana
72.25,11.77,58.64,7.36,27.47,62.44,112.97,clay loam,banana
76.47,15.17,36.46,7.29,25.01,82.14,117.04,clay loam,banana
56.24,15.17,54.5,6.68,27.51,76.77,152.34,silty clay,banana
63.53,14.02,47.87,7.17,29.05,75.86,120.37,alluvial,banana
50.71,17.7,55.69,7.04,26.43,74.34,93.91,alluvial,banana
72.74,15.7,49.91,7.2,29.29,72.54,90.26,silty clay,banana
64.4,14.53,51.92,7.21,27.43,64.67,133.09,clay loam,banana
83.96,16.13,33.11,6.61,28.21,73.24,114.75,alluvial,banana
70.79,7.94,24.83,6.76,27.31,80.69,115.02,silty clay,banana
57.54,19.73,28.1,6.97,26.9,74.31,122.19,silty clay,banana
58.24,18.85,50.04,7.04,27.39,68.15,117.52,clay loam,banana
59.58,13.09,40.18,7.42,27.2,77.67,140.07,silty clay,banana
65.23,9.94,40.57,7.32,25.75,68.17,118.22,alluvial,banana
62.53,16.82,41.39,6.84,28.31,72.18,141.21,alluvial,banana
79.04,20.02,28.96,7.18,30.53,64.2,112.4,alluvial,banana
65.89,9.66,44.28,6.87,29.02,76.9,135.29,silty clay,banana
67.08,20.81,29.58,7.15,27.18,83.97,136.92,silty clay,banana
63.72,22.37,41.78,7.08,26.63,78.46,135.37,alluvial,banana
63.39,24.77,53.38,7.26,26.96,72.79,107.76,clay loam,banana
52.74,20.74,53.34,7.16,28.46,80.64,108.98,clay loam,banana
48.21,13.15,66.26,7.35,29.41,80.9,99.96,clay loam,banana
54.13,15.19,45.96,7.01,30.22,69.27,117.38,clay loam,banana
54.54,12.01,34.61,7.32,30.62,76.82,113.76,alluvial,banana
28.38,16.77,32.86,8.75,25.04,90.27,150.26,sandy loam,banana
51.54,25.37,50.88,6.72,29.44,85.45,144.78,clay loam,banana
57.28,19.58,39.66,6.81,29.03,70.57,137.91,clay loam,banana
64.52,19.89,45.87,6.83,26.11,70.53,150.84,silty clay,banana
76.48,20.49,41.09,7.1,29.35,80.22,141.13,silty clay,banana
55.52,17.71,51.78,7.19,25.89,65.82,117.76,silty clay,banana
70.28,16.13,56.48,7.48,26.16,79.36,112.01,alluvial,banana
51.08,14.06,53.37,7.39,29.19,68.63,106.84,clay loam,banana
55.71,19.4,60.18,7.23,29.92,86.95,130.17,silty clay,banana
46.57,23.04,38.35,7.35,31.51,72.47,118.38,silty clay,banana
77.22,21.45,53.74,7.36,27.42,80.82,120.71,silty clay,banana
64.22,16.08,54.09,6.94,28.49,79.69,97.33,clay loam,banana
58.32,17.54,43.41,7.03,25.74,79.78,118.64,clay loam,banana
58.53,7.67,58.31,7.41,31.01,78.97,125.99,alluvial,banana
35.57,18.49,43.81,7.11,28.68,71.42,138.72,silty clay,banana
54.84,13.71,41.68,6.91,26.89,74.92,167.75,alluvial,banana
52.53,26.46,48.89,7.13,27.94,70.73,115.98,clay loam,banana
69.09,21.78,54.48,7.07,26.61,70.48,145.53,silty clay,banana
52.2,22.05,49.9,7.48,27.63,79.13,138.19,silty clay,banana
73.8,17.2,51.76,6.86,31.37,73.62,134.86,alluvial,banana
48.38,15.31,41.55,7.26,28.14,83.73,133.73,silty clay,banana
59.98,13.89,38.54,6.79,28.38,70.92,109.94,silty clay,banana
44.61,20.47,30.9,6.52,29.81,80.99,125.63,clay loam,banana
59.14,13.48,69.23,7.24,28.13,73.25,115.37,clay loam,banana
65.13,18.16,39.76,7.88,31.78,71.26,129.78,alluvial,banana
59.55,22.38,54.44,6.96,30.52,74.0,121.3,silty clay,banana
76.01,11.64,58.32,6.84,28.96,80.38,140.84,alluvial,banana
60.99,18.76,63.46,7.17,27.64,77.99,131.0,alluvial,banana
59.05,7.84,47.83,6.29,27.48,68.26,103.76,alluvial,banana
69.42,18.97,37.47,6.72,28.54,78.63,155.94,alluvial,banana
58.36,15.41,27.07,7.44,29.43,69.4,147.35,clay loam,banana
74.23,9.65,51.24,6.89,28.05,73.5,119.16,silty clay,banana
65.27,18.22,60.18,7.52,29.13,77.7,133.0,silty clay,banana
80.27,19.85,36.35,7.67,28.9,84.59,120.35,silty clay,banana
47.94,16.63,54.64,6.58,29.71,79.31,144.75,clay loam,banana
61.15,11.85,43.13,7.42,28.27,74.44,97.36,alluvial,banana
46.52,3.76,44.48,6.96,25.65,68.37,145.47,clay loam,banana
69.08,15.08,54.88,7.0,31.25,73.25,103.48,alluvial,banana
65.03,17.74,46.95,7.18,29.44,76.59,141.2,clay loam,banana
88.79,20.62,52.28,6.99,28.74,67.66,129.48,alluvial,banana
64.96,16.76,54.94,6.96,26.53,74.22,95.4,clay loam,banana
73.89,15.79,63.27,7.32,30.09,71.24,166.39,silty clay,banana
68.37,17.31,51.48,6.9,30.29,68.59,118.24,alluvial,banana
66.82,11.1,20.78,7.1,27.95,69.27,123.75,alluvial,banana
59.72,19.39,52.35,7.46,28.33,77.2,149.83,alluvial,banana
64.15,11.49,41.94,6.89,30.13,75.05,139.6,clay loam,banana
71.82,14.75,44.04,6.9,28.64,78.4,131.73,clay loam,banana
58.09,1.37,33.68,6.88,27.33,78.68,147.91,silty clay,banana
72.52,12.64,44.71,6.61,28.64,78.36,90.33,clay loam,banana
45.98,16.88,41.06,7.2,29.56,69.7,137.74,clay loam,banana
38.3,22.89,3.83,6.49,27.65,63.8,56.59,new alluvial,banana
63.0,24.62,48.72,7.62,26.16,63.62,130.31,clay loam,banana
64.95,22.22,48.74,6.96,28.27,76.05,120.69,clay loam,banana
55.27,12.69,48.3,7.18,30.0,75.81,121.01,clay loam,banana
64.19,10.22,45.14,7.47,27.18,81.8,140.71,clay loam,banana
84.48,15.73,46.08,7.56,29.2,71.25,128.3,clay loam,banana
57.24,14.38,46.74,7.14,28.93,75.29,141.75,clay loam,banana
54.71,17.25,41.49,6.93,26.72,83.77,108.17,silty clay,banana
68.1,23.12,41.04,7.15,30.99,76.77,120.25,alluvial,banana
61.24,9.51,44.06,6.99,28.48,84.23,136.05,silty clay,banana
56.95,17.32,50.87,7.54,29.03,70.27,111.94,alluvial,banana
60.68,15.67,48.02,6.84,28.79,78.65,127.42,alluvial,banana
69.47,19.77,41.97,7.14,29.17,74.92,139.68,silty clay,banana
65.46,10.18,42.9,7.03,29.5,76.81,133.28,silty clay,banana
65.69,19.49,54.0,7.05,28.99,67.51,120.18,alluvial,banana
73.87,21.0,36.04,7.2,29.51,75.63,155.26,silty clay,banana
73.69,17.56,61.44,7.41,29.31,75.43,119.19,silty clay,banana
72.0,11.91,44.87,7.17,29.22,75.31,143.6,silty clay,banana
71.47,17.87,33.18,7.28,30.51,76.78,114.91,alluvial,banana
50.68,18.62,61.15,7.22,27.37,72.3,127.12,alluvial,banana
57.47,15.92,48.39,6.67,27.44,81.65,108.79,clay loam,banana
78.07,16.75,15.25,6.75,28.54,87.58,89.36,sandy loam,banana
59.81,10.43,44.05,7.25,27.91,73.32,127.84,alluvial,banana
73.59,21.37,31.71,7.06,30.07,72.64,135.47,alluvial,banana
62.09,17.99,42.19,6.96,28.22,76.26,110.41,silty clay,banana
67.57,16.35,42.41,6.79,26.79,80.69,126.31,silty clay,banana
58.1,13.12,42.75,6.71,28.23,84.8,94.72,clay loam,banana
52.19,14.63,53.97,7.13,27.5,73.57,129.61,alluvial,banana
48.73,18.47,39.57,6.38,29.91,78.44,110.49,clay loam,banana
70.2,23.61,32.29,7.09,29.32,86.31,138.34,silty clay,banana
69.27,10.31,44.94,7.25,30.34,69.53,108.85,alluvial,banana
82.67,20.81,41.92,6.79,26.2,82.17,141.9,clay loam,banana
60.39,13.19,26.76,7.4,32.11,73.01,109.33,clay loam,banana
86.56,20.53,46.14,7.39,28.7,73.44,98.45,alluvial,banana
65.93,14.9,40.03,7.18,27.5,69.72,151.08,alluvial,banana
52.98,13.4,50.52,7.03,27.72,68.22,128.26,silty clay,banana
66.1,13.02,39.83,6.8,28.42,64.19,126.42,silty clay,banana
58.42,16.83,46.17,7.39,29.62,73.05,160.69,silty clay,banana
52.96,20.02,36.94,7.02,27.83,75.0,156.77,clay loam,banana
57.05,17.1,31.07,6.88,28.94,67.05,123.57,silty clay,banana
69.41,16.77,63.35,7.25,31.22,77.45,137.83,silty clay,banana
29.03,13.67,44.85,7.45,31.24,70.91,161.84,silty clay,banana
61.49,10.99,46.25,6.81,26.68,67.41,144.63,clay loam,banana
59.02,16.15,34.66,7.47,28.79,68.37,143.4,silty clay,banana
69.3,18.44,53.25,6.82,26.64,76.7,150.15,silty clay,banana
79.45,19.85,39.27,7.08,29.43,74.19,117.23,silty clay,banana
76.0,16.2,61.93,7.27,27.75,74.48,107.94,clay loam,banana
60.59,14.96,51.94,7.13,27.02,73.09,146.3,clay loam,banana
57.87,15.38,41.03,7.45,29.22,70.49,156.25,alluvial,banana
44.6,6.01,65.86,6.68,28.01,75.53,128.05,alluvial,banana
58.2,19.95,36.13,6.95,27.99,79.27,146.78,clay loam,banana
59.74,17.05,57.94,7.21,28.48,79.21,73.8,silty clay,banana
79.61,18.59,36.4,6.59,29.26,70.82,131.16,silty clay,banana
75.5,21.22,53.19,6.57,27.78,78.24,102.92,clay loam,banana
62.7,13.02,39.61,6.94,29.51,76.33,149.32,clay loam,banana
49.4,18.79,42.43,7.14,28.5,79.39,123.04,silty clay,banana
60.59,18.52,52.14,6.82,29.67,79.2,127.68,clay loam,banana
67.15,7.91,57.78,7.73,29.72,70.21,85.89,clay loam,banana
65.51,15.99,42.15,6.86,31.09,68.18,150.55,alluvial,banana
67.08,17.27,53.75,6.78,27.97,74.1,134.78,silty clay,banana
75.0,18.44,55.44,6.68,28.04,77.32,158.72,alluvial,banana
49.43,9.54,56.53,6.98,29.72,72.23,125.38,clay loam,banana
71.51,22.68,43.38,7.18,30.07,81.01,157.61,alluvial,banana
61.25,17.07,43.02,6.75,28.86,75.39,137.84,silty clay,banana
66.61,12.39,58.25,7.04,30.12,71.57,129.01,alluvial,banana
49.16,10.43,61.63,7.22,28.38,76.65,98.62,clay loam,banana
69.43,29.02,54.84,6.7,26.8,71.79,119.73,alluvial,banana
66.17,9.11,49.87,7.27,27.86,77.07,124.03,clay loam,banana
53.66,16.93,40.93,7.38,29.74,75.12,130.85,silty clay,banana
50.68,17.62,37.78,6.94,30.47,79.36,128.83,alluvial,banana
59.97,17.32,43.74,7.01,30.08,72.4,149.96,clay loam,banana
76.33,16.82,40.77,6.76,28.54,77.72,145.06,clay loam,banana
34.68,12.29,62.39,7.0,25.02,90.18,110.94,sandy loam,banana
70.75,20.27,55.87,6.95,27.84,76.24,164.85,silty clay,banana
73.96,18.76,50.85,7.1,27.39,75.79,112.21,alluvial,banana
80.1,18.71,55.01,7.47,29.71,76.92,129.46,silty clay,banana
63.26,12.21,28.96,7.16,28.15,68.15,125.34,clay loam,banana
68.16,15.75,36.43,7.53,28.27,75.26,147.86,silty clay,banana
51.59,18.53,48.78,6.99,27.99,80.44,123.52,silty clay,banana
42.7,21.44,43.12,7.39,28.44,78.58,123.23,clay loam,banana
39.98,16.9,32.5,7.37,30.29,75.29,125.92,clay loam,banana
51.69,12.83,35.63,6.9,27.67,71.09,123.57,alluvial,banana
81.43,16.37,30.41,7.01,28.57,77.47,120.52,clay loam,banana
75.45,15.19,44.08,7.27,28.32,78.55,134.98,clay loam,banana
65.35,20.11,51.25,7.51,28.45,78.46,112.32,alluvial,banana
65.49,13.25,34.91,7.43,29.02,83.58,85.08,alluvial,banana
71.11,16.27,44.1,7.13,29.82,65.68,138.52,alluvial,banana
71.17,12.17,66.91,6.83,29.59,83.3,124.8,silty clay,banana
63.63,20.8,48.1,7.09,27.0,73.68,122.72,silty clay,banana
49.85,13.01,42.77,6.66,25.83,68.76,134.61,clay loam,banana
58.23,14.05,52.14,6.62,26.86,76.94,138.13,alluvial,banana
72.15,6.45,27.61,6.62,25.14,71.12,104.41,sandy loam,banana
56.76,13.64,43.52,6.89,27.63,77.23,125.04,clay loam,banana
65.59,19.42,51.29,6.96,25.69,64.93,124.86,silty clay,banana
66.95,3.21,35.31,7.39,27.64,80.83,166.59,clay loam,banana
55.83,18.97,46.67,6.89,30.27,80.57,117.3,alluvial,banana
57.54,11.66,51.56,7.25,26.53,72.05,126.8,alluvial,banana
66.7,12.97,50.79,6.57,26.85,74.64,105.36,alluvial,banana
57.95,18.48,45.56,7.37,28.25,78.47,146.82,clay loam,banana
76.01,15.12,29.5,7.41,29.97,70.93,103.32,clay loam,banana
46.75,16.34,48.28,6.73,28.18,71.32,130.83,silty clay,banana
70.26,14.62,53.87,7.64,26.42,80.27,122.59,silty clay,banana
60.0,11.2,54.9,7.38,27.01,77.29,120.17,clay loam,banana
50.15,8.86,42.06,7.02,26.02,77.68,110.06,alluvial,banana
65.75,13.62,43.34,6.96,27.31,78.05,176.65,silty clay,banana
57.69,15.53,30.86,7.1,30.78,80.15,112.24,silty clay,banana
64.67,15.49,43.57,7.46,25.63,80.02,124.41,alluvial,banana
64.96,16.09,58.42,7.54,27.1,73.2,116.13,alluvial,banana
68.12,19.64,52.62,7.44,28.95,79.61,127.61,silty clay,banana
70.66,20.22,49.56,7.34,28.49,76.37,148.23,clay loam,banana
71.07,13.3,53.95,7.53,28.37,70.43,120.01,alluvial,banana
47.66,14.91,37.57,7.3,30.51,77.68,151.21,silty clay,banana
50.58,22.71,47.03,7.48,28.37,82.79,152.23,alluvial,banana
54.53,16.43,48.89,7.05,29.33,80.55,86.66,silty clay,banana
60.73,7.68,39.85,6.9,30.68,75.03,134.84,silty clay,banana
59.35,10.55,37.63,7.1,26.38,77.82,121.75,silty clay,banana
59.17,12.13,42.01,6.57,28.57,72.15,134.83,clay loam,banana
71.17,7.7,62.15,6.99,27.28,72.52,108.38,silty clay,banana
49.15,14.43,30.99,7.07,27.24,72.75,128.45,alluvial,banana
82.04,28.25,53.65,7.11,27.06,79.75,129.88,silty clay,banana
49.09,13.01,61.46,7.45,29.86,72.9,131.39,silty clay,banana
69.92,16.45,45.47,7.1,30.68,78.54,121.49,clay loam,banana
53.83,7.85,37.38,7.51,28.53,83.53,111.32,clay loam,banana
73.75,21.11,57.67,7.38,30.92,77.93,129.45,alluvial,banana
60.85,22.43,58.53,6.54,27.85,81.99,136.48,clay loam,banana
60.64,20.96,59.21,6.92,26.1,74.81,147.08,silty clay,banana
72.08,19.4,25.36,7.6,27.17,70.47,92.97,alluvial,banana
70.95,22.09,58.6,6.99,29.05,76.11,113.12,silty clay,banana
59.38,12.29,49.93,6.79,27.46,82.24,151.65,alluvial,banana
60.43,9.79,55.8,7.34,28.6,62.88,128.42,silty clay,banana
73.51,12.18,49.7,6.96,31.11,78.34,121.81,silty clay,banana
58.56,13.75,31.0,7.74,28.81,91.9,148.53,silty clay,banana
57.88,14.73,39.72,7.45,27.33,80.48,126.75,clay loam,banana
65.75,16.69,46.12,6.79,30.94,73.95,93.56,silty clay,banana
50.03,18.13,36.85,6.72,27.24,65.57,135.35,alluvial,banana
60.71,11.45,54.03,7.01,28.44,70.28,175.27,alluvial,banana
49.1,10.46,49.19,6.9,30.73,83.71,103.13,silty clay,banana
54.76,29.41,39.25,6.64,28.35,82.29,120.26,alluvial,banana
81.5,15.92,52.96,7.73,29.47,76.33,140.17,silty clay,banana
54.62,10.48,53.96,6.82,27.91,78.2,166.59,silty clay,banana
61.78,20.46,47.02,7.42,32.19,69.8,145.02,silty clay,banana
66.16,19.4,51.4,7.08,26.42,75.19,138.67,clay loam,banana
43.63,7.73,46.45,6.48,26.75,77.57,110.67,alluvial,banana
55.08,20.12,41.27,7.12,28.0,71.43,154.0,clay loam,banana
64.7,17.05,51.06,7.4,30.89,79.64,152.28,silty clay,banana
73.87,14.81,49.37,7.12,30.06,78.13,94.75,clay loam,banana
66.62,23.79,41.26,7.26,26.54,73.16,133.21,clay loam,banana
62.74,18.9,37.25,7.42,26.29,75.07,112.85,clay loam,banana
74.08,7.5,62.48,7.07,29.95,75.36,139.11,clay loam,banana
81.13,18.14,43.52,7.19,25.74,78.28,117.05,silty clay,banana
48.19,9.33,53.28,7.32,26.87,77.64,73.11,silty clay,banana
66.51,17.17,37.72,6.75,29.49,70.77,118.92,silty clay,banana
